latitude,longitude,count
34.0697,-103.3306,2
32.7103,-103.2764,2
44.4192,-103.2643,1
44.0805,-103.231,1
40.6351,-103.2305,1
44.1209,-103.1978,2
32.7026,-103.136,1
42.1016,-103.0607,1
49.15,-103,4
31.5398,-102.8812,1
31.8093,-102.4546,3
31.8457,-102.3676,1
31.8525,-102.3471,2
31.8994,-102.341,8
33.9173,-102.3249,1
21.8833,-102.3,1
32.0056,-102.1887,2
31.9767,-102.1306,2
31.9974,-102.0779,4
33.4621,-102.0215,1
22.4333,-102,1
23,-102,15
33.6141,-101.9574,2
33.4721,-101.9398,2
