latitude,longitude,count,city,state,zip,country
33.025,-96.7397,9,Plano,TX,75075,US
33.055,-96.7365,13,Plano,TX,75023,US
34.9708,-96.7343,2,Konawa,OK,74849,US
33.0784,-96.7291,29,Plano,TX,75025,US
32.9103,-96.7285,5,Dallas,TX,75243,US
32.877,-96.708,2,Dallas,TX,75238,US
32.6396,-96.707,1,Hutchins,TX,75141,US
32.9462,-96.7058,15,Richardson,TX,75081,US
32.9865,-96.686,2,Richardson,TX,75082,US
32.7672,-96.6836,3,Dallas,TX,75227,US
32.825,-96.6784,3,Dallas,TX,75228,US
33.0277,-96.6777,8,Plano,TX,75074,US
32.9185,-96.6775,1,Garland,TX,75042,US
33.1186,-96.6773,10,Allen,TX,75013,US
32.7244,-96.6755,1,Dallas,TX,75217,US
32.9522,-96.6654,13,Garland,TX,75044,US
33.1951,-96.6642,27,Mc Kinney,TX,75070,US
40.7568,-96.6523,1,Lincoln,NE,68516,US
33.0934,-96.6454,26,Allen,TX,75002,US
32.8794,-96.6411,2,Garland,TX,75041,US
32.9227,-96.6248,6,Garland,TX,75040,US
32.3321,-96.6224,3,Ennis,TX,75119,US
33.0148,-96.6189,1,Plano,TX,75094,US
32.7212,-96.6153,1,Mesquite,TX,75180,US
33.1966,-96.6085,7,Mc Kinney,TX,75069,US
32.7678,-96.6082,3,Mesquite,TX,75149,US
32.8565,-96.5999,7,Garland,TX,75043,US
32.6833,-96.5964,1,Dallas,TX,75253,US
39.1938,-96.5858,1,Manhattan,KS,66502,US
32.9504,-96.5753,12,Garland,TX,75048,US
33.2841,-96.574,8,Melissa,TX,75454,US
33.1936,-96.5699,1,Plano,TX,75026,US
33.3445,-96.5639,6,Anna,TX,75409,US
32.797,-96.5616,1,Sunnyvale,TX,75182,US
32.9346,-96.5544,13,Rowlett,TX,75089,US
32.9031,-96.5472,7,Rowlett,TX,75088,US
33.0041,-96.5394,16,Wylie,TX,75098,US
33.9944,-96.5299,1,Mead,OK,73449,US
33.7169,-96.5235,1,Denison,TX,75021,US
33.1555,-96.4981,1,Princeton,TX,75407,US
32.5975,-96.4637,1,Crandall,TX,75114,US
32.7491,-96.4598,23,Forney,TX,75126,US
32.9492,-96.4418,22,Rockwall,TX,75087,US
33.0139,-96.4377,3,Lavon,TX,75166,US
40.8169,-96.429,1,Eagle,NE,68347,US
32.886,-96.4095,10,Rockwall,TX,75032,US
40.8992,-96.4036,1,Alvo,NE,68304,US
34.0061,-96.3847,11,Durant,OK,74701,US
42.5032,-96.3829,1,Sioux City,IA,51105,US
35.8209,-96.3758,1,Bristow,OK,74010,US
33.1659,-96.3686,4,Farmersville,TX,75442,US
32.9628,-96.3648,4,Royse City,TX,75189,US
33.8016,-96.3581,2,Hendrix,OK,74741,US
30.6582,-96.3351,1,Bryan,TX,77802,US
30.5118,-96.3171,1,College Station,TX,77845,US
30.6045,-96.3123,4,College Station,TX,77840,US
32.7515,-96.2831,4,Terrell,TX,75160,US
34.1157,-96.26,1,Caddo,OK,74729,US
33.0683,-96.2391,1,Caddo Mills,TX,75135,US
33.4044,-96.2238,2,Leonard,TX,75452,US
28.715,-96.2154,1,Palacios,TX,77465,US
32.7332,-96.195,2,Terrell,TX,75161,US
33.9859,-96.1621,1,Bokchito,OK,74726,US
34.3445,-96.1418,1,Atoka,OK,74525,US
33.1854,-96.1304,1,Greenville,TX,75401,US
32.2972,-96.1184,2,Mabank,TX,75156,US
36.003,-96.1106,1,Sapulpa,OK,74066,US
33.1047,-96.0927,3,Greenville,TX,75402,US
32.1383,-96.0831,1,Trinidad,TX,75163,US
34.4676,-96.0002,1,Stringtown,OK,74569,US
36.0948,-95.9655,1,Tulsa,OK,74105,US
36.1464,-95.9526,2,Tulsa,OK,74104,US
36.0605,-95.9452,4,Tulsa,OK,74136,US
33.151,-95.9439,1,Campbell,TX,75422,US
36.1262,-95.9408,3,Tulsa,OK,74114,US
41.1156,-95.9393,1,Bellevue,NE,68123,US
36.7366,-95.9251,4,Bartlesville,OK,74006,US
36.0976,-95.9228,2,Tulsa,OK,74135,US
41.1497,-95.9099,3,Bellevue,NE,68005,US
33.2493,-95.9097,3,Commerce,TX,75428,US
32.5143,-95.9047,1,Canton,TX,75103,US
36.0467,-95.8841,3,Tulsa,OK,74133,US
36.1093,-95.8506,2,Tulsa,OK,74146,US
29.8678,-95.8298,1,Katy,TX,77493,US
36.1162,-95.8225,1,Tulsa,OK,74134,US
36.2863,-95.8222,2,Owasso,OK,74055,US
36.0447,-95.8079,8,Broken Arrow,OK,74012,US
29.6436,-95.798,1,Richmond,TX,77406,US
32.875,-95.7418,1,Emory,TX,75440,US
29.8323,-95.736,3,Katy,TX,77449,US
33.1155,-95.7345,1,Brashear,TX,75420,US
29.5511,-95.7329,3,Richmond,TX,77469,US
29.745,-95.7326,2,Katy,TX,77450,US
29.6625,-95.7272,1,Richmond,TX,77407,US
36.0544,-95.7223,2,Broken Arrow,OK,74014,US
30.4411,-95.7097,8,Montgomery,TX,77356,US
29.8836,-95.7025,5,Cypress,TX,77433,US
34.0366,-95.6916,1,Soper,OK,74759,US
30.0615,-95.6821,2,Tomball,TX,77377,US
29.844,-95.6623,1,Houston,TX,77084,US
29.6947,-95.6511,2,Houston,TX,77083,US
29.8941,-95.6481,3,Houston,TX,77095,US
29.9766,-95.6358,4,Cypress,TX,77429,US
30.0739,-95.6201,1,Tomball,TX,77375,US
29.5785,-95.6066,1,Sugar Land,TX,77479,US
29.7477,-95.603,6,Houston,TX,77077,US
36.3242,-95.5985,1,Claremore,OK,74017,US
29.7738,-95.598,2,Houston,TX,77079,US
33.1345,-95.5922,2,Sulphur Springs,TX,75482,US
29.8602,-95.5817,2,Houston,TX,77041,US
29.9781,-95.5803,1,Houston,TX,77070,US
29.6228,-95.5678,3,Stafford,TX,77477,US
29.8052,-95.5607,5,Houston,TX,77043,US
29.919,-95.5569,1,Houston,TX,77064,US
30.2333,-95.5502,4,Magnolia,TX,77354,US
29.5704,-95.5423,2,Missouri City,TX,77459,US
30.0377,-95.5326,2,Spring,TX,77379,US
33.7779,-95.5307,1,Powderly,TX,75473,US
30.3217,-95.5285,1,Conroe,TX,77304,US
30.2106,-95.5257,3,Spring,TX,77382,US
29.8159,-95.523,1,Houston,TX,77080,US
29.7696,-95.5201,4,Houston,TX,77024,US
29.6518,-95.5176,2,Houston,TX,77071,US
32.0535,-95.5163,1,Frankston,TX,75763,US
30.1044,-95.5066,2,Spring,TX,77389,US
30.1716,-95.4985,5,Spring,TX,77381,US
30.2257,-95.4924,1,Conroe,TX,77384,US
33.6805,-95.4905,1,Paris,TX,75462,US
29.7422,-95.4903,5,Houston,TX,77057,US
29.6722,-95.4861,1,Houston,TX,77096,US
30.1441,-95.4703,4,Spring,TX,77380,US
29.7446,-95.4683,3,Houston,TX,77056,US
29.5962,-95.4587,1,Houston,TX,77053,US
29.8817,-95.4539,1,Houston,TX,77088,US
29.4203,-95.4537,1,Rosharon,TX,77583,US
30.0167,-95.447,2,Houston,TX,77090,US
29.0393,-95.4401,1,Lake Jackson,TX,77566,US
29.7179,-95.4263,2,Houston,TX,77005,US
30.1288,-95.4239,7,Spring,TX,77386,US
29.735,-95.4118,1,Houston,TX,77098,US
29.7991,-95.4118,1,Houston,TX,77008,US
29.7736,-95.4034,1,Houston,TX,77007,US
32.5062,-95.4006,2,Lindale,TX,75771,US
29.7409,-95.3923,4,Houston,TX,77006,US
34.1508,-95.3771,2,Spencerville,OK,74760,US
29.6254,-95.375,2,Houston,TX,77047,US
29.7247,-95.3625,4,Houston,TX,77004,US
29.7594,-95.3594,1,Houston,TX,77002,US
29.4694,-95.3503,2,Manvel,TX,77578,US
29.7489,-95.3391,3,Houston,TX,77003,US
